product_a,product_a_name,product_b,product_b_name,times_bought_together
prod_00018,Streamlined Secondary Attitude,prod_00076,Secured Foreground Protocol,4
prod_00022,Persistent Dynamic Archive,prod_00025,Down-Sized Incremental Matrix,4
prod_00017,Open-Source Maximized Superstructure,prod_00019,Open-Architected Upward-Trending Graphical User Interface,4
prod_00017,Open-Source Maximized Superstructure,prod_00045,Reactive Exuding Protocol,4
prod_00045,Reactive Exuding Protocol,prod_00072,Customizable Human-Resource Orchestration,3
prod_00025,Down-Sized Incremental Matrix,prod_00031,Centralized Value-Added Functionalities,3
prod_00038,Object-Based Clear-Thinking Secured Line,prod_00083,Persistent Leadingedge Intranet,3
prod_00026,Extended Impactful Approach,prod_00089,Re-Engineered Content-Based Structure,3
prod_00026,Extended Impactful Approach,prod_00060,User-Friendly Coherent Encoding,3
prod_00031,Centralized Value-Added Functionalities,prod_00060,User-Friendly Coherent Encoding,3
prod_00038,Object-Based Clear-Thinking Secured Line,prod_00073,Triple-Buffered Intermediate Ability,3
prod_00069,Enhanced Optimal Firmware,prod_00076,Secured Foreground Protocol,3
prod_00057,Integrated High-Level Utilization,prod_00060,User-Friendly Coherent Encoding,3
prod_00014,De-Engineered Uniform Orchestration,prod_00059,Multi-Channeled Zero-Defect Open Architecture,3
prod_00030,Implemented Didactic Approach,prod_00097,Reactive Local Complexity,3
prod_00076,Secured Foreground Protocol,prod_00092,Face-To-Face Context-Sensitive Website,3
prod_00017,Open-Source Maximized Superstructure,prod_00026,Extended Impactful Approach,3
prod_00038,Object-Based Clear-Thinking Secured Line,prod_00047,Distributed Encompassing Forecast,3
prod_00048,Expanded Transitional Graphical User Interface,prod_00091,Team-Oriented 24Hour System Engine,3
prod_00012,Automated Full-Range Archive,prod_00071,Upgradable Zero Tolerance Functionalities,3
prod_00065,Persevering Grid-Enabled Function,prod_00082,Optional Zero Tolerance Paradigm,3
prod_00005,Fundamental Multi-Tasking Portal,prod_00027,Multi-Tiered 24Hour Info-Mediaries,3
prod_00003,Cloned Well-Modulated Monitoring,prod_00087,Digitized 4Thgeneration Analyzer,3
prod_00014,De-Engineered Uniform Orchestration,prod_00054,Customizable Asynchronous Solution,3
prod_00031,Centralized Value-Added Functionalities,prod_00051,Balanced 24Hour Groupware,3
prod_00069,Enhanced Optimal Firmware,prod_00096,Seamless Uniform Middleware,3
prod_00036,Secured Attitude-Oriented Instruction Set,prod_00067,Grass-Roots Asymmetric Throughput,3
prod_00013,Front-Line Even-Keeled Secured Line,prod_00059,Multi-Channeled Zero-Defect Open Architecture,3
prod_00011,Face-To-Face 24Hour Archive,prod_00064,Automated Methodical Definition,3
prod_00002,Configurable Attitude-Oriented Superstructure,prod_00045,Reactive Exuding Protocol,3
prod_00041,Public-Key Didactic Middleware,prod_00053,Triple-Buffered Interactive Open Architecture,3
prod_00055,Automated Holistic Paradigm,prod_00089,Re-Engineered Content-Based Structure,3
prod_00064,Automated Methodical Definition,prod_00072,Customizable Human-Resource Orchestration,3
prod_00028,Horizontal Interactive Standardization,prod_00040,Persevering Regional Open System,3
prod_00017,Open-Source Maximized Superstructure,prod_00062,Open-Source Static Support,3
prod_00047,Distributed Encompassing Forecast,prod_00078,Inverse Impactful Standardization,3
prod_00013,Front-Line Even-Keeled Secured Line,prod_00072,Customizable Human-Resource Orchestration,2
prod_00073,Triple-Buffered Intermediate Ability,prod_00087,Digitized 4Thgeneration Analyzer,2
prod_00003,Cloned Well-Modulated Monitoring,prod_00036,Secured Attitude-Oriented Instruction Set,2
prod_00006,Extended Needs-Based System Engine,prod_00080,User-Friendly Context-Sensitive Pricing Structure,2
prod_00012,Automated Full-Range Archive,prod_00085,Switchable Scalable Process Improvement,2
prod_00000,Pre-Emptive 3Rdgeneration Budgetary Management,prod_00018,Streamlined Secondary Attitude,2
prod_00031,Centralized Value-Added Functionalities,prod_00096,Seamless Uniform Middleware,2
prod_00014,De-Engineered Uniform Orchestration,prod_00031,Centralized Value-Added Functionalities,2
prod_00043,Multi-Layered Executive Complexity,prod_00067,Grass-Roots Asymmetric Throughput,2
prod_00039,Persevering Foreground System Engine,prod_00097,Reactive Local Complexity,2
prod_00043,Multi-Layered Executive Complexity,prod_00058,Multi-Channeled Demand-Driven Software,2
prod_00036,Secured Attitude-Oriented Instruction Set,prod_00060,User-Friendly Coherent Encoding,2
prod_00045,Reactive Exuding Protocol,prod_00087,Digitized 4Thgeneration Analyzer,2
prod_00005,Fundamental Multi-Tasking Portal,prod_00095,Right-Sized Foreground System Engine,2
prod_00041,Public-Key Didactic Middleware,prod_00070,Customer-Focused Radical Internet Solution,2
prod_00039,Persevering Foreground System Engine,prod_00056,Digitized Intermediate Capacity,2
prod_00030,Implemented Didactic Approach,prod_00057,Integrated High-Level Utilization,2
prod_00016,Cross-Platform Stable Internet Solution,prod_00089,Re-Engineered Content-Based Structure,2
prod_00056,Digitized Intermediate Capacity,prod_00067,Grass-Roots Asymmetric Throughput,2
prod_00015,Phased Incremental Core,prod_00068,Synergistic National Groupware,2
prod_00095,Right-Sized Foreground System Engine,prod_00096,Seamless Uniform Middleware,2
prod_00010,Reverse-Engineered Neutral Emulation,prod_00082,Optional Zero Tolerance Paradigm,2
prod_00014,De-Engineered Uniform Orchestration,prod_00064,Automated Methodical Definition,2
prod_00003,Cloned Well-Modulated Monitoring,prod_00076,Secured Foreground Protocol,2
prod_00069,Enhanced Optimal Firmware,prod_00088,Seamless Zero Administration Archive,2
prod_00047,Distributed Encompassing Forecast,prod_00066,Switchable Content-Based Initiative,2
prod_00025,Down-Sized Incremental Matrix,prod_00035,Front-Line Impactful Capability,2
prod_00044,Triple-Buffered Exuding Pricing Structure,prod_00057,Integrated High-Level Utilization,2
prod_00030,Implemented Didactic Approach,prod_00046,Fundamental Bifurcated Benchmark,2
prod_00066,Switchable Content-Based Initiative,prod_00071,Upgradable Zero Tolerance Functionalities,2
prod_00032,Business-Focused Optimal Matrices,prod_00036,Secured Attitude-Oriented Instruction Set,2
prod_00013,Front-Line Even-Keeled Secured Line,prod_00027,Multi-Tiered 24Hour Info-Mediaries,2
prod_00004,De-Engineered Stable Leverage,prod_00095,Right-Sized Foreground System Engine,2
prod_00059,Multi-Channeled Zero-Defect Open Architecture,prod_00086,Cross-Group Web-Enabled Encoding,2
prod_00030,Implemented Didactic Approach,prod_00055,Automated Holistic Paradigm,2
prod_00056,Digitized Intermediate Capacity,prod_00060,User-Friendly Coherent Encoding,2
prod_00039,Persevering Foreground System Engine,prod_00089,Re-Engineered Content-Based Structure,2
prod_00016,Cross-Platform Stable Internet Solution,prod_00082,Optional Zero Tolerance Paradigm,2
prod_00010,Reverse-Engineered Neutral Emulation,prod_00093,Business-Focused Next Generation Encryption,2
prod_00003,Cloned Well-Modulated Monitoring,prod_00090,Proactive Impactful Encryption,2
prod_00049,Sharable Empowering Middleware,prod_00066,Switchable Content-Based Initiative,2
prod_00000,Pre-Emptive 3Rdgeneration Budgetary Management,prod_00003,Cloned Well-Modulated Monitoring,2
prod_00031,Centralized Value-Added Functionalities,prod_00073,Triple-Buffered Intermediate Ability,2
prod_00085,Switchable Scalable Process Improvement,prod_00094,Devolved Maximized Secured Line,2
prod_00025,Down-Sized Incremental Matrix,prod_00055,Automated Holistic Paradigm,2
prod_00056,Digitized Intermediate Capacity,prod_00079,Ergonomic Intangible Secured Line,2
prod_00019,Open-Architected Upward-Trending Graphical User Interface,prod_00054,Customizable Asynchronous Solution,2
prod_00046,Fundamental Bifurcated Benchmark,prod_00053,Triple-Buffered Interactive Open Architecture,2
prod_00017,Open-Source Maximized Superstructure,prod_00065,Persevering Grid-Enabled Function,2
prod_00003,Cloned Well-Modulated Monitoring,prod_00078,Inverse Impactful Standardization,2
prod_00017,Open-Source Maximized Superstructure,prod_00091,Team-Oriented 24Hour System Engine,2
prod_00043,Multi-Layered Executive Complexity,prod_00045,Reactive Exuding Protocol,2
prod_00017,Open-Source Maximized Superstructure,prod_00031,Centralized Value-Added Functionalities,2
prod_00030,Implemented Didactic Approach,prod_00093,Business-Focused Next Generation Encryption,2
prod_00026,Extended Impactful Approach,prod_00098,Fundamental Web-Enabled Encryption,2
prod_00013,Front-Line Even-Keeled Secured Line,prod_00066,Switchable Content-Based Initiative,2
prod_00056,Digitized Intermediate Capacity,prod_00069,Enhanced Optimal Firmware,2
prod_00002,Configurable Attitude-Oriented Superstructure,prod_00025,Down-Sized Incremental Matrix,2
prod_00058,Multi-Channeled Demand-Driven Software,prod_00072,Customizable Human-Resource Orchestration,2
prod_00005,Fundamental Multi-Tasking Portal,prod_00019,Open-Architected Upward-Trending Graphical User Interface,2
prod_00036,Secured Attitude-Oriented Instruction Set,prod_00097,Reactive Local Complexity,2
prod_00078,Inverse Impactful Standardization,prod_00092,Face-To-Face Context-Sensitive Website,2
prod_00073,Triple-Buffered Intermediate Ability,prod_00093,Business-Focused Next Generation Encryption,2
prod_00014,De-Engineered Uniform Orchestration,prod_00055,Automated Holistic Paradigm,2
prod_00052,Sharable Empowering Complexity,prod_00095,Right-Sized Foreground System Engine,2
prod_00089,Re-Engineered Content-Based Structure,prod_00098,Fundamental Web-Enabled Encryption,2
prod_00010,Reverse-Engineered Neutral Emulation,prod_00015,Phased Incremental Core,2
prod_00012,Automated Full-Range Archive,prod_00049,Sharable Empowering Middleware,2
prod_00092,Face-To-Face Context-Sensitive Website,prod_00097,Reactive Local Complexity,2
